[00:00:00] 欢迎收听古爱,我是圣木工
[00:00:01] 本期节目由Ray Chan正极坐垫EX赞助
[00:00:04] 最近市场很刺激,前面AI热到不行
[00:00:07] 结果台子旗夜盘杀到跌厅水准
[00:00:09] 最终大跌3000多点
[00:00:10] 本来只是滑了一下美股
[00:00:11] 结果打开报价,台子旗先瘦一大拳
[00:00:14] 心也跟着瘦
[00:00:15] 投资就是这样子,涨多了不会变胖
[00:00:17] 跌下来又变瘦,重点不是胖瘦
[00:00:19] 是知道哪些可以留,哪些该挪动
[00:00:21] 选坐垫也是一样
[00:00:22] 身形、臀部、坐杆、偏好都不同
[00:00:24] 当然不可以使用通用尺寸坐垫
[00:00:30] 也是市售唯一依照不同体型需求设计的正极坐垫
[00:00:33] 经典款提供男女不同体型两种尺寸
[00:00:36] 现在新增正极坐垫EX
[00:00:38] 专门给身形高大,臀部比较有肉
[00:00:40] 或是单纯不喜欢坐得太紧
[00:00:42] 偏好宽松坐感的人
[00:00:44] 正极坐垫EX完整保留支撑设计
[00:00:46] 帮助维持稳定坐姿
[00:00:48] 左右加宽3公分,软垫加厚0.7公分
[00:00:51] 以身增加1.5公分
[00:00:52] 坐起来最直接的差别就是大腿两侧
[00:00:54] 包袱感降低,臀部空间更宽松
[00:00:56] 不会坐下去就像是喝到没醒的红酒
[00:00:58] 第一秒觉得人生困难
[00:01:00] 投资不能够凹单,久坐不能够委屈
[00:01:02] 所以如果你的身形比较高大,臀部比较有肉
[00:01:05] 或是原本就喜欢正极坐垫的支撑
[00:01:07] 但希望坐起来更宽松一点
[00:01:08] 可以看一下Ray Chan正极坐垫EX
[00:01:11] 我自己的心得是觉得它的支撑性是没有改变
[00:01:13] 变大变宽更加的舒适
[00:01:15] 资讯来这边点下去
[00:01:16] 登陆向主委专属无二折起
[00:01:18] 选一张真正符合自己体型的正极坐垫
[00:01:21] 让你平久看盘上班的时候
[00:01:23] 至少屁股跟骨盆都有基本面的支撑
[00:01:25] 这边天文艺术的小小朋友们
[00:01:27] 我觉得大家都应该要养成看说明书的习惯
[00:01:29] 这个是来自于一个冲荡到大
[00:01:31] 完全都不看说明书的
[00:01:32] 是后来在自己的股票工作里面
[00:01:34] 因为有些规则
[00:01:35] 然后有一些条件
[00:01:38] 如果说你没有搞清楚的话
[00:01:39] 会直接立刻对你而不会造成一些损害
[00:01:41] 所以后来就会对说明书稍微的认真一点
[00:01:44] 可是仅限于在
[00:01:45] 可能是股票相关的工作上面
[00:01:47] 会去看一下说明书
[00:01:48] 其他时候
[00:01:48] 其实我还蛮享受那种
[00:01:50] 就自己土炮硬干乱搞乱组
[00:01:53] 不管是什么家具市区车什么的
[00:01:55] 我觉得那是一个很快乐的过程
[00:01:57] 那当然乐高可能就比较没有办法
[00:01:59] 因为那个零件真的太多
[00:02:00] 那个会勉强看一下
[00:02:01] 但是就绝大多数的时间点
[00:02:03] 一定是不看说明书
[00:02:05] 那有时候就会去尝到一些恶果
[00:02:06] 像之前跟大家分享说
[00:02:07] 第一次去打收入诊
[00:02:08] 那一开始打奥斯安比克
[00:02:10] 那就是因为我没有看说明书
[00:02:11] 所以我就直接打到最高脊梁
[00:02:13] 那还好我身体对最高脊梁的反应是很低
[00:02:15] 然后现在已经进入到蒙建设
[00:02:17] 其实我现在也是在打最高脊梁
[00:02:18] 我的反应也还是很低
[00:02:20] 像我刚才才刚吃完摩斯汉堡的海洋珍珠宝
[00:02:23] 加和风炸鸡
[00:02:25] 加和风腿块
[00:02:26] 加全糖红茶
[00:02:28] 大杯
[00:02:28] 整个把它干掉
[00:02:29] 然后还是超饿
[00:02:30] 我不知道到底发生什么事情
[00:02:31] 那目前已经走到了最高脊梁
[00:02:34] 体重其实已经差不多到自己要的地方
[00:02:36] 所以随时可以把它停掉
[00:02:37] 我心中想的是
[00:02:38] 我想要把那张脂肪再稍微浆一点点
[00:02:40] 那就可以去结束这个瘦瘦增值率
[00:02:43] 那也因为达到了10毫克
[00:02:46] 那所以就变成说我们在冰箱
[00:02:48] 因为那个数字是跳很快
[00:02:49] 有些我可能只打一两剂
[00:02:50] 有直接往上跳
[00:02:51] 所以我们有一堆残剂在那边
[00:02:52] 那之前我不知道的时候
[00:02:54] 那个残剂我就拿来丢掉
[00:02:55] 然后后来听院长讲来知道
[00:02:57] 反正就是我们有一个医美院长邻居
[00:02:59] 他跟我讲说
[00:03:00] 那个瘦瘦增它是一剂可以打4次
[00:03:02] 那4次打完之后
[00:03:04] 它会有一些残剂在里面
[00:03:05] 那都是钱啊
[00:03:06] 你不要丢掉
[00:03:07] 我想说那不然送你
[00:03:08] 可是我不知道你那个有没有病之类的
[00:03:10] 那东西给我我也很害怕
[00:03:11] 你要自己把它打完
[00:03:12] 所以他就给我几个针
[00:03:15] 然后就跟我讲说
[00:03:16] 你可以去把里面的那个针剂抽出来
[00:03:18] 因为你有好几管嘛
[00:03:19] 你抽出来之后
[00:03:19] 你就可以把它凑成是你要的剂
[00:03:21] 然后打到自己的身上
[00:03:22] 那我就大概就知道
[00:03:23] 他有讲过这件事情
[00:03:24] 然后昨天就突然间
[00:03:25] 突发奇想想说
[00:03:26] 好我要来做这件事情
[00:03:27] 我就把我前面的残剂
[00:03:29] 那也没有说真的放很久
[00:03:30] 大概就一两个月内吧
[00:03:31] 然后就把那个东西抽抽抽抽抽
[00:03:33] 那有些人打10毫克
